,Genre Code,Release Year,Artist Gender,Artist Age,Signal Magnitude,Spectral Centroid,Spectral Flux,MFCC,Tempo,Pitch,Intensity
Bastille_Good Grief,20,2016,0,31,0.351902,2504.150219,1.485461191,3.510131892,117.4538352,23.6319,0.247381
Beenzino_Aqua Man,15,2012,0,31,0.280672,1999.438676,1.565961091,2.352167788,95.703125,13.4538,0.215855
Beenzino_Boogie On & On,15,2012,0,31,0.319231,2042.938415,1.60465853,7.42205361,117.4538352,14.3647,0.320854
Beenzino_Break,15,2015,0,31,0.413766,2189.432237,1.780261269,7.218674447,129.1992188,13.7,0.329409
"Beenzino_Dali, Van, Picasso",15,2013,0,31,0.265403,1950.041109,1.716684271,3.860180388,86.1328125,11.3298,0.269714
Beenzino_How Do I Look,15,2014,0,31,0.238813,2401.382972,1.651411196,0.153163208,107.6660156,16.2365,0.221718
Beenzino_Nike Shoes (Feat Dynamic Duo),15,2012,0,31,0.347364,1890.254833,1.862672761,4.35896061,92.28515625,12.1272,0.292692
Beenzino_Up Up And Away (Prod by Shimmy Twice),24,2016,0,31,0.306352,1929.090016,1.602664273,3.287185235,95.703125,11.5399,0.314771
Beenzino_어쩌라고 (So What),15,2015,0,31,0.200977,1931.135295,1.650905685,0.517875893,103.359375,19.8602,0.2264
Beenzino_토요일의 끝에서 (Feat Blacknut),15,2016,0,31,0.243965,2772.956885,1.51093992,6.026325271,112.3471467,13.8108,0.272967
Ben Williams_Voice Of Freedom (For Mandela) (Feat Goapele),8,2015,0,30,0.136708,1582.703715,1.490972415,-1.575276901,117.4538352,5.68394,0.121192
BewhY (비와이)_Day Day (Feat 박재범) (Prod by GRAY),15,2016,0,25,0.3912,2798.497586,1.85572809,2.466785317,117.4538352,30.695,0.277304
BewhY (비와이)_Forever (Prod by GRAY),15,2016,0,25,0.323674,2420.988132,1.726219001,1.61566083,117.4538352,25.7904,0.290441
BIGBANG_BAE BAE,15,2015,0,30,0.25675,2143.399307,1.510628951,5.067499486,135.9991776,10.9672,0.322931
BIGBANG_GIRLFRIEND,15,2016,0,30,0.491563,2348.562664,1.340776284,8.101229397,112.3471467,17.3299,0.366937
BIGBANG_IF YOU,17,2015,0,30,0.253177,1925.279048,1.398106202,2.644846123,143.5546875,5.62079,0.267353
BIGBANG_LAST DANCE,116,2016,0,30,0.405404,2125.227557,1.272872064,3.291319482,143.5546875,18.8312,0.269794
BIGBANG_LOSER,15,2015,0,30,0.414401,1779.216464,1.387685104,4.294959471,89.10290948,16.1889,0.29631
BIGBANG_WE LIKE 2 PARTY,15,2015,0,30,0.379168,2567.99032,1.498058523,5.769786003,89.10290948,38.7071,0.275683
BIGBANG_맨정신,17,2015,0,30,0.386324,2588.448277,1.245023214,6.815887371,129.1992188,19.9402,0.32873
BIGBANG_뱅뱅뱅 (BANG BANG BANG),15,2015,0,30,0.381815,2582.758627,1.465151586,6.112612426,135.9991776,27.2349,0.307896
BIGBANG_에라 모르겠다,15,2016,0,30,0.431885,3164.114448,1.496143165,2.295580019,89.10290948,36.951,0.280702
BIGBANG_우리 사랑하지 말아요,3,2015,0,30,0.358957,2350.148588,1.373821999,5.564677995,123.046875,18.0208,0.301836
BIGBANG_쩔어 (GD & TOP),15,2015,0,30,0.166305,2606.430618,2.033843458,4.128446468,184.5703125,6.03237,0.295106
Billie Black_Fool For The Feeling,35,2015,1,24,0.149014,2243.205859,1.579496932,-7.189680887,112.3471467,14.3003,0.129783
Billy Crudup_Sing Along,24,2015,0,50,0.156455,1620.321488,1.06430447,-4.26413594,172.265625,10.392,0.106296
Birdy_Beautiful Lies,13,2016,1,22,0.155281,1631.385672,1.105173927,-9.848541814,161.4990234,11.9169,0.0976654
Birdy_Deep End,13,2016,1,22,0.224908,1610.969501,1.187096684,-0.804406021,172.265625,7.9614,0.210085
Birdy_Keeping Your Head Up,13,2016,1,22,0.371177,2546.206741,1.281293558,4.132814483,123.046875,25.7271,0.240627
Birdy_Wild Horses,13,2016,1,22,0.216259,2473.363036,1.338866517,3.074494821,112.3471467,11.6193,0.213382
BLACKPINK_마지막처럼,3,2017,1,22,0.360891,2676.754516,1.46474886,6.847085458,123.046875,22.1895,0.334725
BLACKPINK_불장난,3,2016,1,22,0.266813,2984.652837,1.577707862,4.93678989,95.703125,20.1359,0.260552
BLACKPINK_붐바야,15,2016,1,22,0.316541,2859.076453,1.434302751,6.824752219,123.046875,23.9198,0.361448
BLACKPINK_휘파람,15,2016,1,22,0.230161,2758.393677,1.803217135,3.313160202,103.359375,16.1554,0.309534
Blonde & Craig David_Nothing Like This,35,2016,0,37,0.257258,3167.763698,1.601622736,0.578837723,123.046875,17.4092,0.237565
